id_fixture,date_match,id_team_home,id_team_away,gol_home_stat,gol_away_stat,gol_home_match,gol_away_match
1388310,2025-08-24T15:30:00+00:00,163,175,0.0,0.0,,
707183,2021-08-14T19:00:00+00:00,194,413,5.0,0.0,,
727917,2021-08-16T16:15:00+00:00,999,998,1.0,5.0,,
1156213,2024-01-07T12:00:00+00:00,197,206,1.0,1.0,,
1387716,2025-08-31T13:00:00+00:00,77,94,1.0,1.0,,
1387721,2025-08-31T15:15:00+00:00,91,95,3.0,2.0,,
1387717,2025-08-31T15:15:00+00:00,111,84,3.0,1.0,,
1387723,2025-08-31T15:15:00+00:00,114,112,3.0,2.0,,
1387720,2025-08-31T18:45:00+00:00,80,81,1.0,0.0,,
66,2018-08-11T11:30:00+00:00,34,47,1.0,2.0,,
67,2018-08-11T14:00:00+00:00,35,43,2.0,0.0,,
68,2018-08-11T14:00:00+00:00,36,52,0.0,2.0,,
70,2018-08-11T14:00:00+00:00,38,51,2.0,0.0,,
71,2018-08-11T16:30:00+00:00,39,45,2.0,2.0,,
72,2018-08-12T12:30:00+00:00,40,48,4.0,0.0,,
710556,2021-08-13T19:00:00+00:00,55,42,2.0,0.0,,
1439065,2025-10-21T14:30:00+00:00,26355,875,,,,
720745,2021-08-15T20:15:00+00:00,536,728,3.0,0.0,,
707184,2021-08-15T10:15:00+00:00,420,202,1.0,2.0,,
946755,2022-09-08T16:45:00+00:00,94,94,1.0,1.0,,
727922,2021-08-14T18:45:00+00:00,3566,1001,3.0,0.0,,
162491,2019-07-23T18:00:00+00:00,197,551,3.0,,,
573471,2020-08-28T19:00:00+00:00,413,420,0.0,,,
573474,2020-08-29T19:00:00+00:00,203,418,6.0,,,
573476,2020-08-30T12:30:00+00:00,414,425,4.0,,,
573475,2020-08-30T10:15:00+00:00,416,427,2.0,,,
573479,2020-08-31T18:00:00+00:00,199,421,4.0,,,
573478,2020-08-30T18:00:00+00:00,419,412,0.0,,,
1410068,2025-07-24T17:00:00+00:00,207,568,3.0,,,
1439083,2025-10-25T15:30:00+00:00,875,6379,,,,
1051871,2023-07-29T12:30:00+00:00,207,1124,2.0,,,
1156115,2024-01-06T11:00:00+00:00,426,260,1.0,,,
1030754,2023-07-25T17:00:00+00:00,206,208,1.0,0.0,,
1041014,2023-07-22T11:30:00+00:00,415,174,2.0,,,
1030801,2023-07-07T17:00:00+00:00,409,424,3.0,,,
164726,2019-08-02T18:00:00+00:00,193,195,1.0,3.0,,
627985,2020-09-25T14:45:00+00:00,1579,493,0.0,0.0,,
164728,2019-08-03T16:30:00+00:00,208,202,0.0,1.0,,
164729,2019-08-03T18:45:00+00:00,204,417,3.0,1.0,,
164731,2019-08-04T10:15:00+00:00,206,210,0.0,4.0,,
164732,2019-08-04T14:45:00+00:00,198,207,2.0,4.0,,
164733,2019-08-04T12:30:00+00:00,209,426,2.0,2.0,,
164734,2019-08-04T18:00:00+00:00,201,205,4.0,0.0,,
1439084,2025-10-24T18:30:00+00:00,513,1707,,,,
608483,2020-09-20T18:45:00+00:00,496,498,3.0,0.0,,
1156149,2024-01-06T15:00:00+00:00,194,166,0.0,,,
